iter	Logloss
0	0.6825939361
1	0.6723651855
2	0.6624236759
3	0.6530710992
4	0.6442464488
5	0.6357900307
6	0.6272741357
7	0.6195180811
8	0.6119451065
9	0.6044092142
10	0.5974587592
11	0.5906311141
12	0.5842247572
13	0.5780847152
14	0.5721476694
15	0.5664606451
16	0.5611311483
17	0.5558155945
18	0.5507522751
19	0.5457256201
20	0.541064953
21	0.5363732862
22	0.5320299074
23	0.527817857
24	0.5238552386
25	0.5201389415
26	0.5166419085
27	0.5133405178
28	0.510002486
29	0.5066850973
30	0.5037262284
31	0.500586828
32	0.4977202143
33	0.4949476456
34	0.4922153308
35	0.4897470018
36	0.4873033621
37	0.4849851179
38	0.4825200123
39	0.4802875808
40	0.4781994813
41	0.4761748889
42	0.4741689461
43	0.4721859622
44	0.4701559292
45	0.4682034743
46	0.4664356987
47	0.4646835645
48	0.4629853721
49	0.4611673848
50	0.4596099277
51	0.4580519301
52	0.456556262
53	0.4550145204
54	0.4536859182
55	0.4523267729
56	0.4510672516
57	0.4498621585
58	0.4486990262
59	0.4474867094
60	0.4462791977
61	0.445062587
62	0.4439058774
63	0.4427709145
64	0.4417847299
65	0.4408672936
66	0.4398749126
67	0.4389598061
68	0.4380164093
69	0.4369947534
70	0.4361166687
71	0.43523283
72	0.4343444257
73	0.4336251643
74	0.4328661328
75	0.4320424262
76	0.4313535016
77	0.4305281152
78	0.4297368859
79	0.4291228993
80	0.4284611646
81	0.4277896887
82	0.4272036228
83	0.4263820703
84	0.4258192116
85	0.4251618661
86	0.4246961309
87	0.4240634421
88	0.4234303894
89	0.4229401787
90	0.4224772668
91	0.4219467127
92	0.4212588876
93	0.4206894048
94	0.4201412291
95	0.4195530326
96	0.4190410814
97	0.4184812474
98	0.4179705776
99	0.4175485568
100	0.4169282588
101	0.4165081861
102	0.4160969878
103	0.4156279975
104	0.415095292
105	0.4146882546
106	0.4143361672
107	0.4138177018
108	0.4133803425
109	0.4129813867
110	0.4125036799
111	0.4119621054
112	0.4115865173
113	0.4111477396
114	0.4107486709
115	0.4103423389
116	0.4098980233
117	0.4095453719
118	0.4092015304
119	0.4087484669
120	0.4083991009
121	0.4080530887
122	0.4077938013
123	0.4074908138
124	0.4070310188
125	0.4067230783
126	0.4064260842
127	0.4061840439
128	0.405880797
129	0.4054814571
130	0.4052152291
131	0.4048614912
132	0.4045189337
133	0.404253901
134	0.4038916708
135	0.4036055635
136	0.4032500028
137	0.4029853052
138	0.4025942022
139	0.4023163459
140	0.4020093613
141	0.4016554976
142	0.4014647878
143	0.401275861
144	0.4010187826
145	0.4007744729
146	0.4005948743
147	0.4004102989
148	0.4001539515
149	0.3998399339
150	0.399526804
151	0.3993432702
152	0.3990804549
153	0.3987730311
154	0.3985337745
155	0.3983166322
156	0.398071882
157	0.3978571625
158	0.3976920643
159	0.397421696
160	0.3972025766
161	0.3969165204
162	0.3967161074
163	0.3965060753
164	0.3962837089
165	0.3960782036
166	0.3958644565
167	0.3955597123
168	0.3953385085
169	0.3950671042
170	0.3948336273
171	0.3945636513
172	0.394299462
173	0.3940235582
174	0.3937668038
175	0.39353563
176	0.3933679876
177	0.3931459695
178	0.3928753787
179	0.3926003727
180	0.3924353779
181	0.3921537718
182	0.3918909893
183	0.3916259007
184	0.391401638
185	0.3911687542
186	0.3908313273
187	0.390637667
188	0.3904899657
189	0.3902868382
190	0.3900982996
191	0.389924741
192	0.3897083998
193	0.3895110575
194	0.3893437267
195	0.3891394027
196	0.388991508
197	0.3887851297
198	0.3885434551
199	0.3883964772
200	0.3882334316
201	0.3879825856
202	0.3877545955
203	0.3875225756
204	0.3873463202
205	0.3871424207
206	0.3869923569
207	0.386837004
208	0.3865271805
209	0.3863132187
210	0.3860682163
211	0.3859522931
212	0.3857730654
213	0.3855731816
214	0.3853951546
215	0.3852714407
216	0.3851418983
217	0.3849753182
218	0.3848078915
219	0.3846752616
220	0.3845093204
221	0.3842016933
222	0.3840676671
223	0.3839464989
224	0.3838109066
225	0.3836505707
226	0.3834876988
227	0.3832650871
228	0.3830885669
229	0.3829526865
230	0.3827484682
231	0.382510576
232	0.3823694439
233	0.3821685296
234	0.3820046554
235	0.3818169364
236	0.3816706304
237	0.3815532002
238	0.3814337229
239	0.3812077249
240	0.3811179753
241	0.3810304329
242	0.3808262913
243	0.3807022864
244	0.3805496029
245	0.3804096595
246	0.3802889541
247	0.3801453926
248	0.380067443
249	0.3798969647
250	0.3797246679
251	0.3796006582
252	0.3794203279
253	0.379108091
254	0.3789562495
255	0.378765883
256	0.3784790556
257	0.378359682
258	0.3782283245
259	0.3781315303
260	0.3780165145
261	0.3779215631
262	0.3778008029
263	0.3776632577
264	0.3774875313
265	0.3772969208
266	0.3771836614
267	0.3769952327
268	0.3767855051
269	0.3766978285
270	0.3765545133
271	0.3763709365
272	0.3762446822
273	0.3761199081
274	0.3760522812
275	0.3759252524
276	0.3758192323
277	0.3756657514
278	0.3756209523
279	0.3755290456
280	0.3753697956
281	0.3752214396
282	0.3751090202
283	0.3749493438
284	0.3747222668
285	0.3746107587
286	0.3744205769
287	0.3742453498
288	0.3741273714
289	0.3740768178
290	0.3739215444
291	0.3738023384
292	0.3736999745
293	0.3736225526
294	0.3734796929
295	0.3733782584
296	0.3732842797
297	0.3730784313
298	0.3729198986
299	0.3727043853
300	0.3726025108
301	0.3724290309
302	0.3723021057
303	0.3720727495
304	0.3718584719
305	0.3717360921
306	0.3716284778
307	0.3715308862
308	0.3714219173
309	0.3712925041
310	0.3711709714
311	0.3709887582
312	0.3707648256
313	0.3705937055
314	0.3704528185
315	0.3703478274
316	0.3702378965
317	0.3701525373
318	0.3699735263
319	0.3698902156
320	0.3697673648
321	0.3696154684
322	0.369498297
323	0.3694280813
324	0.3692699773
325	0.3691533334
326	0.3689393794
327	0.3688420853
328	0.3686356344
329	0.368594209
330	0.3684834485
331	0.3683693056
332	0.368218652
333	0.3681247816
334	0.3680280131
335	0.3679695584
336	0.3677843487
337	0.367718921
338	0.3675996188
339	0.3674668465
340	0.3673439035
341	0.3672066846
342	0.3670710313
343	0.3670065163
344	0.3669260234
345	0.3668741905
346	0.3667271827
